num_posts,SEVERE_TOXICITY,SEVERE_TOXICITY80p,fixation_dict_incels,fixation_dict_td,NegativeEmotion,CoreHostility,We,They,length,count_repeated,kind,ptile
2,2.5715554000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,14,before,2
1,41.098064,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.0,34.0,6,before,1
1,34.030187,0.0,4.3478260869565215,0.0,0.0,4.3478260869565215,0.0,0.0,116.0,23,before,1
16,70.948756,0.0,2.0771513353115725,0.0,5.637982195845697,8.30860534124629,0.0,0.5934718100890208,109.5,337,before,3
1,2.135403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,8,before,1
2,1.9633722999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,before,2
1,17.313973999999998,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,155.0,29,before,1
5,73.27194,0.0,4.761904761904762,0.0,4.761904761904762,4.761904761904762,0.0,2.380952380952381,46.0,42,before,2
4,71.01911,0.0,0.0,2.272727272727273,2.272727272727273,6.8181818181818175,4.545454545454546,0.0,58.5,44,before,2
17,82.14078,5.88235294117647,2.2058823529411766,0.0,2.2058823529411766,7.352941176470589,0.0,0.7352941176470588,33.0,136,before,3
39,78.12972,0.0,2.0080321285140563,0.0,2.5435073627844713,3.614457831325301,0.2677376171352075,2.4096385542168677,89.0,747,before,3
2,18.949991,0.0,0.5076142131979695,1.015228426395939,1.015228426395939,1.5228426395939088,0.0,0.5076142131979695,534.0,197,before,2
1,1.0131069,0.0,,,,,,,2.0,0,before,1
1,74.73183,0.0,0.0,0.3125,2.1875,1.875,0.46875,1.7187500000000002,4896.0,640,before,1
15,77.40404,0.0,3.669724770642202,0.0,2.293577981651376,7.79816513761468,0.0,0.45871559633027525,73.0,218,before,3
39,79.55784,0.0,2.285027059530968,0.1803968731208659,1.984365604329525,2.4654239326518343,0.4810583283223091,1.8039687312086592,92.0,1663,before,3
2,6.882387,0.0,7.142857142857142,0.0,0.0,0.0,0.0,0.0,29.5,14,before,2
1,0.8265615000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,13,before,1
254,91.536796,4.330708661417323,2.372656379625021,0.049776007964161276,2.2896963663514187,3.6004645760743323,0.2820640451302472,2.0988883358221337,177.0,12054,before,4
1,2.5413715999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,5,before,1
32,67.72063,0.0,0.08748906386701663,0.0,2.6246719160104988,2.7559055118110236,0.08748906386701663,1.268591426071741,239.5,2286,before,3
4,10.1411305,0.0,1.1764705882352942,0.0,1.1764705882352942,1.1764705882352942,1.1764705882352942,0.0,108.0,85,before,2
5,84.2882,20.0,0.7462686567164178,0.0,4.477611940298507,5.970149253731343,0.0,0.0,187.0,134,before,2
