num_posts_x,SEVERE_TOXICITY80p_x,fixation_dict_incels_x,fixation_dict_td_x,NegativeEmotion_x,CoreHostility_x,We_x,They_x,length_x,count_repeated_x,num_posts_y,SEVERE_TOXICITY80p_y,fixation_dict_incels_y,fixation_dict_td_y,NegativeEmotion_y,CoreHostility_y,We_y,They_y,length_y,count_repeated_y,ptile
260,3.076923076923077,7.615534823172054,0.08678672163159037,3.080928617921458,5.4024734215665005,1.0414406595790844,2.5385116077240184,85.0,4609,979,4.290091930541369,6.73404255319149,0.02127659574468085,2.867021276595745,5.946808510638298,0.574468085106383,2.101063829787234,85.0,18800,4
26,26.923076923076923,4.714640198511166,0.12406947890818859,6.699751861042183,10.297766749379653,1.240694789081886,1.240694789081886,125.5,806,1,0.0,5.263157894736842,0.0,5.263157894736842,10.526315789473683,0.0,5.263157894736842,196.0,38,2
471,6.1571125265392785,5.612375351572488,0.0383533623114293,3.029915622602915,5.382255177703913,0.42188698542572234,1.8920992073638454,128.0,15644,3,0.0,1.5444015444015444,0.0,2.7027027027027026,3.861003861003861,0.3861003861003861,0.7722007722007722,588.0,259,4
391,3.580562659846547,3.552611771789854,0.05017813236991319,2.1927843845652064,3.933965577801194,0.361282553063375,2.1225349992473284,185.0,19929,375,4.8,2.981383847338217,0.060654131479494236,2.8367470722717303,4.693696636028554,0.41524751551346056,2.0249148509308075,172.0,21433,4
286,2.797202797202797,4.816841103710752,0.0356803044719315,2.890104662226451,4.638439581351094,0.3330161750713606,1.9980970504281639,135.0,8408,143,4.895104895104895,4.77751756440281,0.046838407494145196,2.5995316159250588,3.793911007025761,0.37470725995316156,1.5456674473067917,145.0,4270,4
144,7.638888888888889,3.8547736441057823,0.1344688480502017,2.495144180487076,4.616763783056925,0.4034065441506051,1.0906917675183028,187.5,6693,549,6.9216757741347905,3.2059920398633612,0.05327650506126798,2.331630574446081,4.039612648469084,0.45441724905199166,1.0247892444138018,174.0,31909,3
45,11.11111111111111,7.756232686980609,0.0,4.293628808864266,6.64819944598338,0.2770083102493075,1.10803324099723,65.0,722,5,0.0,3.3980582524271843,0.0,3.3980582524271843,2.4271844660194173,1.4563106796116505,0.48543689320388345,149.0,206,3
1,0.0,5.88235294117647,0.0,0.0,0.0,5.88235294117647,0.0,82.0,17,4,0.0,10.204081632653061,0.0,8.16326530612245,16.3265306122449,0.0,0.0,67.5,49,1
1,0.0,2.941176470588235,2.941176470588235,0.0,0.0,0.0,0.0,179.0,34,1,0.0,4.651162790697675,0.0,0.0,2.3255813953488373,2.3255813953488373,0.0,522.0,43,1
119,5.042016806722689,4.375876577840112,0.05610098176718093,3.02945301542777,5.525946704067321,0.729312762973352,0.785413744740533,126.0,3565,806,4.466501240694789,4.294604110374191,0.028657987390485546,2.726602800294768,4.642593957258659,0.3316138540899042,0.6059117333988373,121.0,24426,3
318,30.18867924528302,8.1877499473795,0.021048200378867607,6.146074510629341,14.96527046937487,1.1366028204588507,1.1576510208377184,66.0,4751,166,21.686746987951807,6.453576864535769,0.0,5.692541856925418,11.78082191780822,1.339421613394216,1.339421613394216,91.0,3285,4
15,13.333333333333334,3.7091988130563793,0.0741839762611276,3.1899109792284865,6.528189910979229,0.2967359050445104,3.115727002967359,483.0,1348,4,0.0,2.586206896551724,0.0,2.586206896551724,2.1551724137931036,0.8620689655172413,4.741379310344827,229.5,232,2
10,0.0,2.905982905982906,0.0,1.3675213675213675,2.3931623931623935,0.0,2.905982905982906,194.5,585,2,0.0,3.418803418803419,0.0,2.564102564102564,3.418803418803419,5.982905982905983,1.7094017094017095,371.0,117,1
78,1.282051282051282,3.90625,0.03255208333333333,2.34375,2.9296875,0.16276041666666669,1.3671875,164.5,3072,7,0.0,2.857142857142857,0.0,3.1746031746031744,3.8095238095238098,0.0,0.9523809523809524,234.0,315,3
6,0.0,7.4074074074074066,0.0,1.8518518518518516,2.7777777777777777,0.0,0.9259259259259258,89.0,108,664,8.58433734939759,4.103739661992089,0.022473930240920533,4.32398417835311,6.7062207838906875,0.5034160373966199,1.811398777418195,139.5,22248,1
122,8.19672131147541,2.9340697273041076,0.12081463583016915,2.744218156713842,4.608215395236451,0.6903693476009666,1.2426648256817396,185.0,5794,9,0.0,4.53074433656958,0.0,2.26537216828479,3.2362459546925564,0.0,0.6472491909385114,193.0,309,3
4,0.0,5.813953488372093,1.1627906976744187,2.3255813953488373,5.813953488372093,0.0,0.0,116.0,86,10,10.0,5.6521739130434785,0.0,2.608695652173913,9.130434782608695,0.8695652173913043,2.608695652173913,102.0,230,1
193,8.290155440414509,3.7016800983472202,0.09561535309383964,2.909438601283978,5.60032782406775,0.6829668078131403,1.953285070345581,131.0,7321,11,9.090909090909092,3.99002493765586,0.0,3.99002493765586,8.478802992518704,0.0,0.7481296758104738,222.0,401,4
54,9.25925925925926,5.9640522875816995,0.32679738562091504,2.696078431372549,5.637254901960785,1.2254901960784315,0.5718954248366013,98.0,1224,25,4.0,6.772908366533864,0.0,2.9880478087649402,8.565737051792828,0.199203187250996,1.1952191235059761,100.0,502,3
48,16.666666666666664,5.590717299578059,0.0,3.691983122362869,7.067510548523207,0.5274261603375527,1.160337552742616,77.5,948,6,0.0,5.333333333333334,0.0,3.3333333333333335,3.3333333333333335,0.0,0.0,129.5,150,3
1,0.0,25.0,0.0,0.0,0.0,0.0,0.0,26.0,4,1,0.0,9.090909090909092,0.0,9.090909090909092,9.090909090909092,0.0,0.0,60.0,11,1
967,5.584281282316442,4.792244459435825,0.10493965969567498,3.405541813457262,5.714214326762112,0.8345201509132248,2.02883342078305,178.0,40023,72,2.7777777777777777,4.138376980278047,0.06466214031684449,4.009052699644358,5.819592628516004,1.196249595861623,2.7804720336243127,199.0,3093,4
7,0.0,5.172413793103448,0.0,4.022988505747127,5.172413793103448,0.0,1.1494252873563218,151.0,174,1,0.0,25.0,0.0,0.0,12.5,0.0,0.0,49.0,8,1
23,0.0,3.8924930491195555,0.0,3.243744207599629,2.873030583873957,0.18535681186283595,2.131603336422614,246.0,1079,90,6.666666666666667,4.899354348651728,0.0,3.380174705658944,5.013292821876187,0.2658564375237372,1.974933535890619,133.5,2633,2
425,2.588235294117647,5.0318873081505355,0.03504099796762212,2.032377882122083,4.387132945546289,0.32938538089564795,1.3806153199243114,115.0,14269,104,10.576923076923077,5.53072625698324,0.08379888268156424,2.067039106145251,5.307262569832402,0.33519553072625696,1.4245810055865922,125.5,3580,4
12,16.666666666666664,6.143344709897611,0.0,2.7303754266211606,5.460750853242321,1.023890784982935,2.04778156996587,60.0,293,130,3.8461538461538463,4.546596332579754,0.15071590052750566,2.4114544084400906,3.6171816126601355,0.8791760864104498,1.6076362722933935,114.5,3981,2
2,0.0,4.054054054054054,0.0,2.7027027027027026,1.3513513513513513,2.7027027027027026,0.0,180.5,74,2313,7.825335062689148,6.676434126000226,0.022540290769750927,3.033923137608475,7.436041924940831,0.7212893046320297,1.5845824411134906,70.0,44365,1
74,8.108108108108109,6.777572396796057,0.06161429451632779,2.3413431916204557,5.422057917436845,0.6161429451632778,0.6777572396796057,84.5,1623,14,21.428571428571427,1.0314595152140278,0.0515729757607014,2.9912325941206808,5.157297576070139,1.2377514182568334,0.46415678184631254,112.5,1939,3
15,26.666666666666668,7.335907335907336,0.3861003861003861,4.633204633204633,10.81081081081081,0.7722007722007722,0.7722007722007722,79.0,259,316,18.9873417721519,5.668281188637256,0.10472574944364445,3.4952218876816334,7.4093467731378455,0.5498101845791333,1.2959811493651001,118.0,7639,2
439,13.439635535307518,6.403224000895556,0.011194447554013208,3.470278741744095,6.895779693272138,0.5037501399305944,1.511250419791783,87.0,8933,765,3.7908496732026142,3.5966033900527847,0.06557162060260319,2.5146716501098325,4.11134061178322,0.3245795219828858,1.498311530769483,151.0,30501,4
23,8.695652173913043,4.043545878693624,0.0,4.199066874027993,7.4650077760497675,2.9548989113530326,1.244167962674961,123.0,643,80,11.25,8.52858481724461,0.18744142455482662,3.280224929709466,7.1227741330834125,0.7497656982193065,1.4058106841611997,57.5,1067,2
7,14.285714285714285,4.545454545454546,0.5681818181818182,3.977272727272727,5.113636363636364,0.0,0.0,81.0,176,5,40.0,4.081632653061225,0.0,6.802721088435375,17.687074829931973,0.0,0.0,161.0,147,1
45,13.333333333333334,5.887850467289719,0.0,4.485981308411215,6.822429906542056,0.5607476635514018,3.2710280373831773,85.0,1070,20,10.0,6.4646464646464645,0.20202020202020202,3.2323232323232323,5.656565656565657,0.6060606060606061,2.4242424242424243,89.0,495,3
29,24.137931034482758,4.042553191489362,0.0,4.361702127659575,7.9787234042553195,0.5319148936170213,0.6382978723404255,123.0,940,45,15.555555555555555,3.062583222370173,0.044385264092321346,3.5064358632933867,5.947625388371061,0.5770084332001775,1.2427873945849977,162.0,2253,2
14,0.0,5.833333333333333,0.0,2.083333333333333,4.166666666666666,0.4166666666666667,1.25,75.5,240,14,7.142857142857142,8.187134502923977,0.0,3.508771929824561,11.11111111111111,0.5847953216374269,0.5847953216374269,70.0,171,2
53,39.62264150943396,8.767123287671232,0.0,6.986301369863014,13.561643835616438,1.095890410958904,1.5068493150684932,47.0,730,58,17.24137931034483,5.45822102425876,0.06738544474393532,3.840970350404313,7.61455525606469,1.482479784366577,2.6954177897574128,99.0,1484,3
1,0.0,50.0,0.0,0.0,0.0,0.0,0.0,12.0,2,5,0.0,4.545454545454546,0.0,3.6363636363636362,5.454545454545454,2.727272727272727,3.6363636363636362,136.0,110,1
286,27.27272727272727,7.753386268099019,0.07006071929005138,5.651564689397478,11.396543671181691,0.7940214852872489,1.7281644091546005,59.0,4282,42,7.142857142857142,6.290115532734275,0.12836970474967907,3.080872913992298,6.546854942233633,0.7702182284980745,1.9255455712451863,67.0,779,4
