num_posts,SEVERE_TOXICITY,SEVERE_TOXICITY80p,fixation_dict_incels,fixation_dict_td,fixation_dict_gc,NegativeEmotion,CoreHostility,We,They,length,count_repeated,kind,ptile
3,35.57448,0.0,0.0,0.0,1.6483516483516485,2.197802197802198,1.6483516483516485,1.6483516483516485,1.098901098901099,96.0,182,before,2
44,71.12881,0.0,0.0,0.0,0.9864364981504316,2.5893958076448826,3.945745992601726,0.2466091245376079,2.342786683107275,67.0,811,before,4
3,34.906662,0.0,0.0,0.0,0.0,0.0,1.4705882352941175,0.0,1.4705882352941175,99.0,68,before,2
6,30.458439999999996,0.0,0.0,0.0,0.0,1.9801980198019802,1.3201320132013201,0.0,0.9900990099009901,291.5,303,before,2
54,77.76997,0.0,0.0,0.0,0.700280112044818,2.072829131652661,3.305322128851541,0.5042016806722689,1.1764705882352942,300.0,3570,before,4
2,15.397649999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,42,before,2
9,80.14377999999999,11.11111111111111,0.0,0.0,0.5025125628140703,3.015075376884422,7.788944723618091,1.256281407035176,1.256281407035176,92.0,398,before,3
3,5.092596299999999,0.0,0.0,0.0,1.2422360248447204,1.8633540372670807,0.0,0.0,0.6211180124223602,204.0,161,before,2
3,70.35331000000001,0.0,0.0,0.0,0.0,6.015037593984962,8.270676691729323,1.5037593984962405,2.2556390977443606,227.0,133,before,2
1,6.80008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,11,before,1
1,1.6151328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,7,before,1
3,58.599794,0.0,0.0,0.0,1.3333333333333335,3.3333333333333335,2.666666666666667,0.6666666666666667,4.0,331.0,150,before,2
22,72.76047,0.0,0.0,0.0,0.273224043715847,3.415300546448088,4.439890710382514,1.2978142076502732,1.5710382513661203,270.0,1464,before,3
3,10.455322,0.0,0.0,0.0,0.0,2.1739130434782608,2.1739130434782608,0.0,0.0,96.0,46,before,2
4,82.50362,25.0,0.0,0.0,0.0,1.8181818181818181,0.0,0.0,0.0,87.0,55,before,2
1,38.641882,0.0,0.0,0.0,6.944444444444445,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,393.0,72,before,1
1,22.403084,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,43.0,10,before,1
1,68.48923,0.0,0.0,0.0,1.8867924528301887,0.0,0.0,5.660377358490567,0.0,331.0,53,before,1
1,1.5600882999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,8,before,1
1,3.1157399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,12,before,1
1,33.148706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,9,before,1
7,31.361073,0.0,0.0,0.0,1.8018018018018018,4.504504504504505,2.7027027027027026,0.9009009009009009,0.0,94.0,111,before,2
5,25.133014,0.0,0.0,0.0,2.586206896551724,1.7241379310344827,0.8620689655172413,0.0,2.586206896551724,135.0,116,before,2
6,41.087028,0.0,0.0,0.0,0.0,1.6666666666666667,1.25,0.0,3.3333333333333335,205.5,240,before,2
3,66.49015,0.0,0.0,0.0,0.0,3.6363636363636362,5.454545454545454,0.0,0.0,97.0,110,before,2
1,11.667627999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,9,before,1
1,4.236523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,15,before,1
7,51.63767299999999,0.0,0.0,0.0,0.0,1.2345679012345678,2.4691358024691357,0.0,0.0,79.0,81,before,2
11,77.48868,0.0,0.0,0.0,0.35398230088495575,3.5398230088495577,6.725663716814159,0.7079646017699115,2.1238938053097343,276.0,565,before,3
2,14.521709999999999,0.0,0.0,0.0,1.639344262295082,1.639344262295082,0.0,1.639344262295082,0.0,155.5,61,before,2
3,3.8483147000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,23,before,2
5,30.95718,0.0,0.0,0.0,0.0,2.2346368715083798,0.5586592178770949,1.1173184357541899,3.910614525139665,184.0,179,before,2
20,68.57036,0.0,0.0,0.0,2.0876826722338206,0.8350730688935281,2.9227557411273484,0.6263048016701461,2.5052192066805845,59.0,479,before,3
2,28.038192000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,22,before,2
2,22.416721,0.0,0.0,0.0,1.8691588785046727,0.0,0.0,0.0,0.0,288.0,107,before,2
1,13.315481000000002,0.0,0.0,0.0,0.0,8.19672131147541,1.639344262295082,3.278688524590164,1.639344262295082,341.0,61,before,1
2,36.114532,0.0,0.0,0.0,1.3888888888888888,4.166666666666666,4.166666666666666,0.0,2.7777777777777777,177.5,72,before,2
2,13.530515000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,23,before,2
1,40.10362,0.0,0.0,0.0,5.263157894736842,0.0,0.0,0.0,15.789473684210526,103.0,19,before,1
10,69.2913,0.0,0.0,0.0,0.5530973451327433,2.5442477876106198,3.2079646017699117,0.497787610619469,1.2168141592920354,491.5,1808,before,3
1,1.8118333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2,before,1
1,6.642665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,11,before,1
