venue,date_post,id,author,length,first,idpauthor,intervention_flag,date_idx
/r/The_Donald,2020-03-09,11638,2937,145.16248496305207,154,3.9625468164794007,1,12
/r/The_Donald,2020-03-10,13385,3306,124.11804258498319,178,4.0486993345432545,1,13
/r/The_Donald,2020-03-11,14405,3609,130.99368274904546,279,3.9914103629814353,1,14
/r/The_Donald,2020-03-12,14634,3560,131.560065600656,364,4.110674157303371,1,15
/r/The_Donald,2020-03-13,16397,3431,130.18875404037323,237,4.779073156514136,1,16
/r/The_Donald,2020-03-14,14470,3269,124.10559778852799,253,4.426430100948302,1,17
/r/The_Donald,2020-03-15,15165,3388,137.99314210352787,242,4.4760920897284535,1,18
/r/The_Donald,2020-03-16,16475,3555,135.2211229135053,232,4.634317862165964,1,19
/r/The_Donald,2020-03-17,17306,3448,135.47642436149312,189,5.019141531322505,1,20
/r/The_Donald,2020-03-18,18113,3736,130.10727102081378,219,4.84823340471092,1,21
/r/The_Donald,2020-03-19,18115,3627,137.47424786088877,172,4.994485800937414,1,22
/r/The_Donald,2020-03-20,18518,3723,131.8806026568744,186,4.973945742680634,1,23
/r/The_Donald,2020-03-21,17292,3484,131.13607448531113,150,4.963260619977038,1,24
/r/The_Donald,2020-03-22,18633,3612,142.71373369827725,161,5.158637873754153,1,25
/r/The_Donald,2020-03-23,18266,3527,138.58447388590824,133,5.178905585483414,1,26
/r/The_Donald,2020-03-24,18598,3624,129.2942789547263,144,5.131898454746137,1,27
/r/The_Donald,2020-03-25,21064,3924,134.74577478161794,172,5.367991845056065,1,28
/r/The_Donald,2020-03-26,19726,3851,138.47759302443475,169,5.122305894572838,1,29
/r/The_Donald,2020-03-27,18790,3632,132.44252261841405,134,5.173458149779735,1,30
/r/The_Donald,2020-03-28,16677,3333,137.06218144750255,140,5.003600360036003,1,31
/r/The_Donald,2020-03-29,16716,3362,142.00209380234506,120,4.972040452111838,1,32
/r/The_Donald,2020-03-30,18774,3770,139.35756897837436,187,4.979840848806366,1,33
/r/The_Donald,2020-03-31,18414,3834,142.33561420658194,175,4.802816901408451,1,34
